Oseba,Transport,Datum,Ocena
true,4,02/07/2020,2
true,1,31/08/2020,2
false,4,14/09/2020,10
false,3,30/04/2021,5
true,4,03/09/2020,2
false,2,30/04/2021,2
true,1,28/05/2020,2
true,3,11/08/2020,9
false,3,30/12/2020,6
false,4,29/05/2020,10
true,3,20/11/2020,6
true,1,28/08/2020,5
false,3,30/10/2020,5
false,4,27/11/2020,3
false,4,16/04/2021,1
true,3,23/02/2021,3
true,1,20/04/2021,1
true,1,02/04/2021,10
true,3,12/01/2021,6
false,2,27/09/2020,8
true,2,22/08/2020,3
true,2,19/02/2021,2
false,4,24/03/2021,7
true,2,22/01/2021,9
true,3,28/08/2020,9
true,4,25/06/2020,8
false,4,13/07/2020,1
true,4,28/07/2020,5
true,2,08/10/2020,10
true,1,04/12/2020,7
true,1,12/02/2021,9
false,4,18/06/2020,6
true,2,21/02/2021,5
true,4,11/12/2020,7
false,1,06/03/2021,3
false,4,10/09/2020,10
false,2,11/09/2020,9
false,2,19/10/2020,10
false,3,30/03/2021,3
true,4,13/01/2021,1
false,1,05/11/2020,1
false,4,25/09/2020,4
true,2,12/03/2021,4
true,1,16/01/2021,8
true,3,11/02/2021,7
false,4,16/02/2021,1
false,1,25/08/2020,8
false,4,16/07/2020,6
false,3,22/03/2021,4
true,1,22/10/2020,4
false,3,15/07/2020,9
true,1,02/07/2020,10
true,3,15/07/2020,10
false,1,04/01/2021,8
true,2,06/02/2021,7
true,2,15/07/2020,9
true,2,01/09/2020,4
true,2,19/08/2020,8
false,1,07/05/2020,1
true,1,16/05/2020,3
false,3,01/07/2020,4
true,1,12/06/2020,5
false,3,22/12/2020,10
true,1,19/02/2021,9
true,4,20/08/2020,2
true,4,11/06/2020,9
true,1,05/12/2020,1
false,4,07/05/2020,7
false,4,05/01/2021,1
false,4,02/02/2021,2
true,2,04/11/2020,8
true,2,04/09/2020,5
true,1,11/05/2020,3
false,2,10/07/2020,3
false,4,02/06/2020,8
false,4,18/01/2021,6
true,1,07/04/2021,5
true,2,30/12/2020,10
true,4,06/08/2020,6
false,3,09/06/2020,7
false,2,27/04/2021,5
false,1,30/04/2021,4
false,1,16/02/2021,6
false,1,25/01/2021,9
false,1,30/11/2020,9
true,4,15/09/2020,6
false,2,16/06/2020,7
false,2,17/02/2021,9
false,2,19/05/2020,6
false,1,06/03/2021,4
false,2,17/02/2021,8
true,1,27/01/2021,6
true,2,31/05/2020,8
false,2,14/03/2021,9
false,3,29/08/2020,9
false,4,11/08/2020,1
false,3,28/07/2020,1
false,3,18/04/2021,9
true,1,26/01/2021,10
false,1,26/07/2020,9
false,4,29/05/2020,10
false,4,16/03/2021,3
true,3,16/10/2020,5
false,2,24/04/2021,9
false,4,23/05/2020,10
true,4,09/09/2020,10
true,4,23/10/2020,10
false,4,19/02/2021,9
true,1,19/07/2020,5
true,2,15/10/2020,6
true,2,06/06/2020,6
true,4,02/12/2020,10
false,2,21/07/2020,7
false,2,03/06/2020,10
false,1,31/03/2021,8
true,4,15/12/2020,2
true,1,28/03/2021,7
true,1,16/04/2021,9
true,4,17/08/2020,8
false,4,25/06/2020,2
true,1,04/02/2021,10
true,1,05/09/2020,4
false,2,20/04/2021,2
true,4,09/06/2020,10
true,1,27/11/2020,5
false,3,01/09/2020,10
true,4,22/10/2020,1
true,2,22/04/2021,8
false,2,04/04/2021,4
true,4,10/12/2020,2
false,1,07/06/2020,2
false,4,03/09/2020,9
true,3,01/05/2021,8
false,3,04/07/2020,9
true,4,21/06/2020,2
true,2,22/09/2020,10
false,4,02/05/2021,5
true,3,26/03/2021,9
false,1,13/12/2020,7
true,3,19/11/2020,1
true,2,02/11/2020,5
false,1,19/08/2020,6
false,2,19/04/2021,7
false,3,07/04/2021,8
true,2,24/02/2021,7
false,3,10/01/2021,5
true,4,18/01/2021,1
true,1,25/08/2020,9
false,1,07/12/2020,4
false,2,12/08/2020,10
false,1,05/03/2021,3
true,1,08/06/2020,5
true,4,27/07/2020,10
true,3,20/05/2020,6
true,2,20/05/2020,8
true,1,10/06/2020,3
true,4,17/06/2020,5
